Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"dūṣayanty anumānābhyāṁ bauddhā vedam api sphuṭam | 
tan-mūla-labdha-dharmāder apalāpas tu sidhyati ||11||","दूषयन्त्य् अनुमानाभ्यां बौद्धा वेदम् अपि स्फुटम् । 
तन्-मूल-लब्ध-धर्मादेर् अपलापस् तु सिध्यति ||११||","11. On the strength of the two (following) logical syllogisms, the Bauddhas distinctly find fault even with the Vedas : and the denial of the duties, etc., which are derived from those (Vedas themselves) as source, follows (thence) as a matter of course."
"vedo'pramāṇaṁ vākyatvād rathyā-puruṣa-vākyavat | 
athānāpta-praṇītatvād unmattānāṁ yathā vacaḥ ||12||","वेदोऽप्रमाणं वाक्यत्वाद् रथ्या-पुरुष-वाक्यवत् । 
अथानाप्त-प्रणीतत्वाद् उन्मत्तानां यथा वचः ||१२||","12. (Firstly), the Vedas are no authoritative means of knowledge, because they possess the characteristics of spoken sentences, (even) like the sentences of the man in the street. Again (they are not authoritative) because they are the productions of unwise and untrustworthy persons, like the speech of the insane."
"tad ayuktam imau hetū bhavetām aprayojakau | 
vākyatva-mātrād vedasya na bhavaty apramāṇatā ||13||","तद् अयुक्तम् इमौ हेतू भवेताम् अप्रयोजकौ । 
वाक्यत्व-मात्राद् वेदस्य न भवत्य् अप्रमाणता ||१३||","13. This (argument) is not right: the two reasons given above are quite ineffective (here). Simply because they (the Vedas) happen to be (made up of) sentences, it does not follow that the Vedas have not the character of an authoritative means of knowledge."
"anāpta-puruṣoktatvaṁ hetus te na prayojakaḥ | 
syād anāptoktatā-mātrād aprāmāṇyaṁ na ca śruteḥ ||14||","अनाप्त-पुरुषोक्तत्वं हेतुस् ते न प्रयोजकः । 
स्याद् अनाप्तोक्तता-मात्राद् अप्रामाण्यं न च श्रुतेः ||१४||","14. The (other) reason given by you, to the effect that they are composed by unwise and untrustworthy persons, is (also) useless (here). Want of authoritativeness (in relation to ordinary utterances) may well result from the mere fact of (their) having been uttered by an unwise and untrustworthy person. But it cannot be so in the case of revealed scriptures."
"nitya-vedasya cānāpta-praṇītatvaṁ na duṣyati | 
vipralambhādayo doṣā vidyante puṁ-girāṁ sadā ||15||","नित्य-वेदस्य चानाप्त-प्रणीतत्वं न दुष्यति । 
विप्रलम्भादयो दोषा विद्यन्ते पुं-गिरां सदा ||१५||","15. The character of being produced hy unwise and untrustworthy persons cannot (at all) become (associated as) a blemish with the eternal Vedas. In regard to human utterances, (however), there may always be the faults of deceitfulness, etc., (in association with them)."
"vedasyāpauruṣeyatvād doṣāśaṅkaiva nāsti naḥ | 
vedasyāpauruṣeyatvaṁ kecin naiyāyikādayaḥ ||16||
dūṣayantīśvarokt|atvān manyamānāḥ pramāṇatām | 
pauruṣeyo bhaved vedo vākyatvād bhāratādivat ||17||
sarveśvara-praṇītatve prāmāṇyam api susthitam | 
prāmāṇyaṁ vidyate neti pauruṣeyeṣu yujyate ||18||
vede vaktur abhāvāc ca tad vārtāpi sudurlabhā | 
vedasya nityatā proktā prāmāṇyenopayujyate ||19||","वेदस्यापौरुषेयत्वाद् दोषाशङ्कैव नास्ति नः । 
वेदस्यापौरुषेयत्वं केचिन् नैयायिकादयः ||१६||
दूषयन्तीश्वरोक्त्|अत्वान् मन्यमानाः प्रमाणताम् । 
पौरुषेयो भवेद् वेदो वाक्यत्वाद् भारतादिवत् ||१७||
सर्वेश्वर-प्रणीतत्वे प्रामाण्यम् अपि सुस्थितम् । 
प्रामाण्यं विद्यते नेति पौरुषेयेषु युज्यते ||१८||
वेदे वक्तुर् अभावाच् च तद् वार्तापि सुदुर्लभा । 
वेदस्य नित्यता प्रोक्ता प्रामाण्येनोपयुज्यते ||१९||","16-19. As (we hold that) the Vedas are not personal productions, we have no suspicion of any faultiness whatsoever (in relation to them). A few Naiyayikas and others, who believe in the authoritativeness (of the Vedas) on account of their having been given out by the Lord, take objection to the view that the Vedas do not possess the characteristics of personal productions, (and say) that the Vedas are to them of (divinely) personal origin, inasmuch as they possess the character of (being made up of) sentences like the Bharata and other such works, and that (nevertheless) the authoritativeness (of the Vedas) is also well established in that they have been produced by the Lord of all. In regard to (all) works of personal origin, it is right to ask whether or not there is authoritativeness (in them). There being no speaker in respect of the (original productive utterance of the) Vedas, even such a talk ( about authoritativeness) is impossible (in relation to them). The eternality which is predicated of the Vedas (by us) is (therefore) utilised to establish their authoritativeness."
"sarveśvara-praṇītatvaṁ prāmāṇyasyaiva kāraṇam | 
tad ayuktaṁ pramāṇena kenātreśvara-kalpanā ||20||","सर्वेश्वर-प्रणीतत्वं प्रामाण्यस्यैव कारणम् । 
तद् अयुक्तं प्रमाणेन केनात्रेश्वर-कल्पना ||२०||",20. (To hold) that the reason of the authoritativeness (of the Vedas) is (to be found) entirely in their being produced by the Lord of all -- that is not right. With the help of which criterion of truth is the Lord in this connection assumed to exist?
"sa yady āgama-kalpaḥ syān nityo'nityaḥ kim āgamaḥ | 
nityaś cet taṁ pratīśasya keyaṁ kartṛtva-kalpanā ||21||","स यद्य् आगम-कल्पः स्यान् नित्योऽनित्यः किम् आगमः । 
नित्यश् चेत् तं प्रतीशस्य केयं कर्तृत्व-कल्पना ||२१||","21. If He be so assumed with the aid of scripture, then (it is asked) whether the scripture is eternal or non-eternal. If it be eternal, then what is (the meaning of) this assumption of the agency of the Lord in regard to it (as a thing produced by  Him) ?"
"anityāgama-pakṣe syād anyo'nyāśraya-dūṣaṇam | 
āgamasya pramāṇatvam īśvaroktyeśvaras tataḥ ||22||
āgamāt sidhyatīty evam anyo'nyāśraya-dūṣaṇam | 
svata eva pramāṇatvam ato vedasya susthiram ||23||","अनित्यागम-पक्षे स्याद् अन्योऽन्याश्रय-दूषणम् । 
आगमस्य प्रमाणत्वम् ईश्वरोक्त्येश्वरस् ततः ||२२||
आगमात् सिध्यतीत्य् एवम् अन्योऽन्याश्रय-दूषणम् । 
स्वत एव प्रमाणत्वम् अतो वेदस्य सुस्थिरम् ||२३||","22-23 In regard to the view (that the scripture is) non­eternal, there will arise the fallacy of reciprocal dependence. That the authoritativeness of the scripture is due to its being the language of the Lord, and that the Lord is (in His turn) established by means of that same scripture, is accordingly the fallacy of reciprocal dependence (here). Therefore, it is well established that the Vedas are possessed of authoritativeness altogether in themselves."
"dharmādharmau ca vedaika-gocarāv ity api sthitam | 
nanu vedaṁ vinā sākṣātkārāmalakavat sphuṭam ||24||
paśyanti yogino dharmaṁ kathaṁ vedaika-mānatā | 
tad ayuktaṁ na yogī syād asmad-ādi-vilakṣaṇaḥ ||25||","धर्माधर्मौ च वेदैक-गोचराव् इत्य् अपि स्थितम् । 
ननु वेदं विना साक्षात्कारामलकवत् स्फुटम् ||२४||
पश्यन्ति योगिनो धर्मं कथं वेदैक-मानता । 
तद् अयुक्तं न योगी स्याद् अस्मद्-आदि-विलक्षणः ||२५||","24-25. Further, it is also (thus) established that (the teachings bearing upon) duty and non-duty fall entirely within the scope of the Vedas. It may, however, be objected (here) that, (even) without the Vedas, the yogins perceive directly and clearly (what is) dharma (or duty), in the manner of (other persons perceiving) the fruit of the emblic myrobalan when placed on the palm of the hand. How (then) can the Vedas be the sole source of authority (in relation to duty)? It is not right to say so (in objection); the yogin cannot be different in nature from such as are like ourselves."
"so'pi pañcendriyaiḥ paśyan viṣayaṁ nātiricyate | 
pratyakṣam anumānākhyam upamānam anantaram ||26||
arthāpattir abhāvaś ca na dharmaṁ bodhayanti vai | 
tat-tad-indriya-yogena vartamānārtha-bodhakam ||27||
pratyakṣaṁ na hi gṛhṇāti so'py atītam anāgatam | 
dharmeṇa nitya-sambandhi-rūpasyābhāvataḥ kvacit ||28||
nānumānam api vyaktaṁ dharmādharmāvabodhakam | 
dharmādi-sadṛśābhāvād upamānam api kvacit ||29||
sādṛśya-grāhakaṁ naiva dharmādharmāvabodhakaṁ | 
sukhasya kāraṇaṁ dharmo duḥkhasyādharma ity api ||30||
arthāpattyātra sāmānya-mātre jñāne na duṣyati | 
sāmānyam ananuṣṭheyaṁ kiṁ cātītaṁ tadā bhavet ||31||","सोऽपि पञ्चेन्द्रियैः पश्यन् विषयं नातिरिच्यते । 
प्रत्यक्षम् अनुमानाख्यम् उपमानम् अनन्तरम् ||२६||
अर्थापत्तिर् अभावश् च न धर्मं बोधयन्ति वै । 
तत्-तद्-इन्द्रिय-योगेन वर्तमानार्थ-बोधकम् ||२७||
प्रत्यक्षं न हि गृह्णाति सोऽप्य् अतीतम् अनागतम् । 
धर्मेण नित्य-सम्बन्धि-रूपस्याभावतः क्वचित् ||२८||
नानुमानम् अपि व्यक्तं धर्माधर्मावबोधकम् । 
धर्मादि-सदृशाभावाद् उपमानम् अपि क्वचित् ||२९||
सादृश्य-ग्राहकं नैव धर्माधर्मावबोधकं । 
सुखस्य कारणं धर्मो दुःखस्याधर्म इत्य् अपि ||३०||
अर्थापत्त्यात्र सामान्य-मात्रे ज्ञाने न दुष्यति । 
सामान्यम् अननुष्ठेयं किं चातीतं तदा भवेत् ||३१||","26-31. He also perceives objects with the help of the five senses and does not go beyond. Perception and what is called inference, and then comparison (or analogy), presumption from circumstances, and also the negative proof of non-perception, (these) do not indeed teach us duty. Perception, which gives rise to the knowledge of existing things by means of the contact of the several senses (with them), cannot surely apprehend that which has passed away or that which has not (yet) arrived. Owing to the non-existence of anything which has the character of being an invariable concomitant of dharma (or duty), inference also does not evidently give rise to the knowledge of duty and non-duty. As there is nothing (at all) anywhere which resembles duty, etc., comparison (or analogy), which (only) apprehends similarities, cannot be the means of making out duty and non-duty. 1f, by means of the evidence of circumstantial presumption, only a general proposition is arrived at to the effect that duty is the cause or pleasure and non-duty (the cause) of pain, there is nothing  wrong (in it). (But) a general rule cannot be put into practice. Moreover, (such a rule) may then be found to be too late (in coming, when duty has to be actually judged by its result)."
"yāgādayo hy anuṣṭheyā viśeṣā vidhi-coditāḥ | 
abhāvākhyaṁ pramāṇaṁ na puṇyāpuṇya-prakāśakam ||32||
pramāṇa-pañcakābhāve tat sadā vartate yataḥ | 
vedaika-gocarau tasmād dharmādharmāv iti sthitam ||33||","यागादयो ह्य् अनुष्ठेया विशेषा विधि-चोदिताः । 
अभावाख्यं प्रमाणं न पुण्यापुण्य-प्रकाशकम् ||३२||
प्रमाण-पञ्चकाभावे तत् सदा वर्तते यतः । 
वेदैक-गोचरौ तस्माद् धर्माधर्माव् इति स्थितम् ||३३||","32-33. Sacrifices, etc., are (all) to be adopted in practice, being the particular things enjoined by the mandatory injunctions (in the Vedas). The (negative) proof of non-perception cannot throw light on merit (as associated with duty) and on demerit (as associated with non-duty}; because it is always in the absence of the (first) five means of knowledge that this (negative proof of non-perception) has scope to operate. Therefore, it is established that duty and non-duty fall exclusively within the scope (of the authority) of the Vedas."
"vedaika-vihitaṁ karma mokṣadaṁ nāparaṁ tataḥ | 
mokṣārthī na pravarteta tatra kāmya-niṣiddhayoḥ ||34||","वेदैक-विहितं कर्म मोक्षदं नापरं ततः । 
मोक्षार्थी न प्रवर्तेत तत्र काम्य-निषिद्धयोः ||३४||","34. The work which is enjoined exclusively by the Vedas yields the salvation of final deliverance; and none other than that (yields such deliverance). Therefore, one who is desirous of final deliverance, should not, in respect of this matter, be engaged (either) in those (activities) which have particular objects of desire in view or in those which are prohibited (by the Vedas)."
"nitya-naimittike kuryāt pratyavāya-jihāsayā | 
ātmā jñātavya ity-ādi-vidhibhiḥ pratipādite ||35||
jīvātmanāṁ prabodhas tu jāyate paramātmani | 
pratyāhārādikaṁ yogam abhyasyan vihita-kriyaḥ ||36||
manaḥ karaṇakenātmā pratyakṣeṇāvasīyate | 
bhinnābhinnātmakas tv ātmā govat sad-asad-ātmanaḥ ||37||
jīva-rūpeṇa bhinno'pi tv abhinnaḥ para-rūpataḥ | 
asat syāt jīva-rūpeṇa sad-rūpaḥ para-rūpataḥ ||38||","नित्य-नैमित्तिके कुर्यात् प्रत्यवाय-जिहासया । 
आत्मा ज्ञातव्य इत्य्-आदि-विधिभिः प्रतिपादिते ||३५||
जीवात्मनां प्रबोधस् तु जायते परमात्मनि । 
प्रत्याहारादिकं योगम् अभ्यस्यन् विहित-क्रियः ||३६||
मनः करणकेनात्मा प्रत्यक्षेणावसीयते । 
भिन्नाभिन्नात्मकस् त्व् आत्मा गोवत् सद्-असद्-आत्मनः ||३७||
जीव-रूपेण भिन्नोऽपि त्व् अभिन्नः पर-रूपतः । 
असत् स्यात् जीव-रूपेण सद्-रूपः पर-रूपतः ||३८||","35-38. One should perform the daily obligatory and the occasionally obligatory (works) with the object of avoiding the harm of sinfulness that will (otherwise) arise. In regard to the Supreme Self taught in (the scriptural injunction) -- ""The Atman (or Self) should be known, etc."" -- the knowledge (of that Supreme Self) is certainly (capable of being) born in the individual selves. The atman (or the self) of him, who performs the works enjoined (in the scripture) and practises the yoga consisting of pratyahara and the other constituent elements, is (indeed) realised at last through direct perception (by him) with the aid of the (internal) organ of manas (or the faculty of attention) as the instrument. The atman is both differentiated and undifferentiated, and is like the (conception of the) ox, (for instance), both real and unreal. Although (the atman is) differentiated when in the form of individual souls, yet He is undifferentiated as the Supreme (Soul) -­ is unreal in the form of individual selves and real in the form of the Supreme (Self)."
"śāvaleyādi-goṣv eva yathā gotvaṁ pratīyate | 
paramātma tv anusyūta-vṛttir jīve'pi budhyatām ||39||","शावलेयादि-गोष्व् एव यथा गोत्वं प्रतीयते । 
परमात्म त्व् अनुस्यूत-वृत्तिर् जीवेऽपि बुध्यताम् ||३९||","39. Just as the generic characteristics of the ox are made out only in relation to particular oxen characterised by the variegated colour (and the other colours), so the Supreme Soul also has to be understood to exist as if continuously threaded through (all) the individual souls."
"traiyāmbikādibhir mantraiḥ pūjyo dhyeyo mumukṣubhiḥ | 
dhyātvaivāropitākāraṁ kaivalyaṁ so'dhigacchati ||40||","त्रैयाम्बिकादिभिर् मन्त्रैः पूज्यो ध्येयो मुमुक्षुभिः । 
ध्यात्वैवारोपिताकारं कैवल्यं सोऽधिगच्छति ||४०||","40. By means of the mantras known as triyambaka, etc., He is to be worshipped and meditated upon by all those who are desirous of (the salvation of) final release. He (who thus worships and meditates upon God) obtains the (blessed) condition of true self-abidance, even by meditating upon Him as possessed of (some) super-imposed form."
"parānandānubhūtiḥ syān mokṣe tu viṣayād ṛte | 
viṣayeṣu viraktāḥ syur nityānandānubhūtitaḥ | 
gacchanty apunar āvṛttiṁ mokṣam eva mumukṣavaḥ ||41||","परानन्दानुभूतिः स्यान् मोक्षे तु विषयाद् ऋते । 
विषयेषु विरक्ताः स्युर् नित्यानन्दानुभूतितः । 
गच्छन्त्य् अपुनर् आवृत्तिं मोक्षम् एव मुमुक्षवः ||४१||","41. In the state of final deliverance, there occurs, (even) in the absence of the objects of the senses, the experience of the highest bliss. Through (this) experience of eternal bliss, all those, who are desirous of (the salvation of) final release, become freed from attachment to the objects of the senses, and reach that condition of final deliverance from which there is no returning (to this world of samsara)."
