Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"bhūṅkte'lpaṁ madhuraṁ koṣṇaṁ tathāpi balavān asau | 
apratīkārato vairaṁ ciraṁ gūḍhaṁ vahaty asau ||12||","भूङ्क्तेऽल्पं मधुरं कोष्णं तथापि बलवान् असौ । 
अप्रतीकारतो वैरं चिरं गूढं वहत्य् असौ ||१२||","12. He eats (generally) a small quantity of sweet and gently warm food, and yet he is strong; he inwardly puts up with enmities for long without retaliation."
"dhṛtir buddhiḥ smṛtiḥ prītiḥ sukhaṁ lajjāṅga-lāghavam | 
ānṛṇyaṁ samatārogyam akārpaṇyam acāpalam ||13||","धृतिर् बुद्धिः स्मृतिः प्रीतिः सुखं लज्जाङ्ग-लाघवम् । 
आनृण्यं समतारोग्यम् अकार्पण्यम् अचापलम् ||१३||","13. Courage, intelligence, memory, love, happiness, modesty, agility of body, freedom from indebtedneas, equanimity in behaviour, healthfulness, absence of meanness, steadiness of purpose."
"iṣṭāpūrta-viśeṣāṇāṁ kratūnām avikatthanam | 
dānena cānugrahaṇam aspṛhā ca parārthataḥ ||14||","इष्टापूर्त-विशेषाणां क्रतूनाम् अविकत्थनम् । 
दानेन चानुग्रहणम् अस्पृहा च परार्थतः ||१४||","14. Not (being prone) to indulge in boastful talk about pious deeds done in response to religion and charity, bestowing favours by the giving of gifts, and freedom from covetousness in relation to the wealth of others."
"sarva-bhūta-dayā ceti guṇair jñeyo'tra sāttvikaḥ | 
rajo-guṇa-paricchedyo rājaso'tra yathā janaḥ ||15||","सर्व-भूत-दया चेति गुणैर् ज्ञेयोऽत्र सात्त्विकः । 
रजो-गुण-परिच्छेद्यो राजसोऽत्र यथा जनः ||१५||",15. And mercy for all beings -- it is by means of these attributes that be who is characterised by sattva has to be diagnosed here (in this world). The man who is characterised by rajas has to be distinguished here similarly by the attributes that appertain to rajas.
"rajaḥ pittaṁ tad evāgnir agnis tat pittajas tu vā | 
tīvra-tṛṣṇo bubhukṣārtaḥ paittiko'mita-bhojanaḥ ||16||","रजः पित्तं तद् एवाग्निर् अग्निस् तत् पित्तजस् तु वा । 
तीव्र-तृष्णो बुभुक्षार्तः पैत्तिकोऽमित-भोजनः ||१६||",16. Rajas is bile and that is fire itself; or perhaps (this) fire is the product of that bile. The (rajasa) man of bilious temperament is characterised by unbearable thirst and is (much) troubled by hunger. He is given to unlimited eating.
"piṅga-keśo'lpa-romā ca tāmra-vaktrāṅghri-hastakaḥ | 
gharmāsahiṣṇur uṣṇāṅgaḥ svedanaḥ pūti-gandha-yuk ||17||","पिङ्ग-केशोऽल्प-रोमा च ताम्र-वक्त्राङ्घ्रि-हस्तकः । 
घर्मासहिष्णुर् उष्णाङ्गः स्वेदनः पूति-गन्ध-युक् ||१७||","17. The hair (on his head) is brown, and he has few hairs (on the body) ; his face and feet and hands are ruddy ; he cannot bear heat -- and has a warm body; he perspires freely, and is possessed of an offensive smell."
"svastho virecanād evaṁ mṛdu-koṣṭho'tikopanaḥ | 
śūraḥ sucarito mānī kleśa-bhīruś ca paṇḍitaḥ ||18||","स्वस्थो विरेचनाद् एवं मृदु-कोष्ठोऽतिकोपनः । 
शूरः सुचरितो मानी क्लेश-भीरुश् च पण्डितः ||१८||","18. He becomes healthy through the clearing of the bowels, and thus the possessor of a soft abdomen ; he is apt to become very angry, and proves to be a hero of excellent bearing and of (high) self-respect; he is in dread of distress, and is endowed with (great) learning."
"mālyānulepanādīcchur atisvacchojjvalākṛtiḥ | 
alpa-śuklo'lpa-kāmaś ca kāminīnām anīpsitaḥ ||19||","माल्यानुलेपनादीच्छुर् अतिस्वच्छोज्ज्वलाकृतिः । 
अल्प-शुक्लोऽल्प-कामश् च कामिनीनाम् अनीप्सितः ||१९||","19. He is fond of flower-garlands and fragrant unguents, etc., and has a very happy and bright appearance; he has (comparatively) small vital potency, and his carnal desires are very limited; he is not a loved favourite with women."
"bālye'pi palitaṁ dhatte rakta-romātha nīlikām | 
balī sāhasiko bhogī samprāpta-vibhavaḥ sadā ||20||","बाल्येऽपि पलितं धत्ते रक्त-रोमाथ नीलिकाम् । 
बली साहसिको भोगी सम्प्राप्त-विभवः सदा ||२०||","20. Even in boyhood, he puts on grey hairs; (or) having red hairs, he becomes subject to the eye affection (called) nilika (an eye disease); he is physically strong, enterprising, given to enjoyments, and is always in possession of wealth and greatness."
"bhuṅkte'timadhuraṁ cārdraṁ bhakṣyaṁ kaṭv-amla-nispṛhaḥ | 
nātyuṣṇa-bhojī pānīyam antarā pracuraṁ piban ||21||","भुङ्क्तेऽतिमधुरं चार्द्रं भक्ष्यं कट्व्-अम्ल-निस्पृहः । 
नात्युष्ण-भोजी पानीयम् अन्तरा प्रचुरं पिबन् ||२१||","21. He always eats such food as is sweet and fresh ; he has no liking for what is pungent and sour ; he takes food which is not very hot, drinking much water while (doing so)."
"netraṁ tanv alpa-pakṣmāsya bhavecchīta-jala-priyaḥ | 
kopenārkābhitāpena rāgam āśu prayāti ca ||22||","नेत्रं तन्व् अल्प-पक्ष्मास्य भवेच्छीत-जल-प्रियः । 
कोपेनार्काभितापेन रागम् आशु प्रयाति च ||२२||","22. His eyes have very thin and scanty eye-lashes, and he is apt to be fond of cold water ; through anger and through the heat of the sun, he becomes quickly reddened in colour."
"atyāgitvam akāruṇyaṁ sukha-duḥkhopasevanam | 
ahaṅkārād asatkāraś cintā vairopasevanam ||23||
para-bhāryāpaharaṇaṁ hrī-nāśo'nārjavaṁ tv iti | 
rājasasya guṇāḥ proktās tāmasasya guṇā yathā ||24||","अत्यागित्वम् अकारुण्यं सुख-दुःखोपसेवनम् । 
अहङ्काराद् असत्कारश् चिन्ता वैरोपसेवनम् ||२३||
पर-भार्यापहरणं ह्री-नाशोऽनार्जवं त्व् इति । 
राजसस्य गुणाः प्रोक्तास् तामसस्य गुणा यथा ||२४||","23-24. Illiberality, unmercifulness, enjoyments based upon pleasure and pain, disregard of others out of personal pride, anxiety, cherishing enmity, taking away another's wile, shamelessness, and hypocrisy -- these are said to be the attributes of him who is charaotezised by rajaes. And the attributes of the person characterised by tamas are as follows:-"
"adharmas tāmaso jñeyas tāmaso vātiko janaḥ | 
adhanyo matsaro coraḥ prākṛto nāstiko bhṛśam ||25||","अधर्मस् तामसो ज्ञेयस् तामसो वातिको जनः । 
अधन्यो मत्सरो चोरः प्राकृतो नास्तिको भृशम् ||२५||","25. It must be understood that unrighteousness is the outcome of tamas, and the person characterised by tamas is dominated by (the humour of) wind. He is wretched, envious ; he is a thief, is unrefined, and firmly atheistic."
"dīrgha-sphuṭita-keśāntaḥ kṛśaḥ kṛṣṇo'tilomaśaḥ | 
asnigdha-virala-sthūla-danto dhūsara-vigrahaḥ ||26||","दीर्घ-स्फुटित-केशान्तः कृशः कृष्णोऽतिलोमशः । 
अस्निग्ध-विरल-स्थूल-दन्तो धूसर-विग्रहः ||२६||","26. The ends of his hairs are split to a great length; he is lean, black and very hairy; his teeth are rough, incompactly set, and thick ; and his body is grey with dust."
"cañcalāsya dhṛtir buddhiś ceṣṭā dṛṣṭir gatiḥ smṛtiḥ | 
sauhārdam asthiraṁ tasya pralāpo'saṅgataḥ sadā ||27||","चञ्चलास्य धृतिर् बुद्धिश् चेष्टा दृष्टिर् गतिः स्मृतिः । 
सौहार्दम् अस्थिरं तस्य प्रलापोऽसङ्गतः सदा ||२७||","27. His courage, intellect, activity, eye-sight, movement and memory are (all) unsteady; his friendship is unenduring, and his talk is always incoherent."
"bahvāśī mṛgayāśīlo maliṣṭhaḥ[ untidy] kalaha-priyaḥ | 
śītāsahiṣṇuś capalo doṣadhīr jarjara-svaraḥ ||28||","बह्वाशी मृगयाशीलो मलिष्ठः[ उन्तिद्य्] कलह-प्रियः । 
शीतासहिष्णुश् चपलो दोषधीर् जर्जर-स्वरः ||२८||","28. He is a gormand, is addicted to hunting, and is full of dirt and fond of quarrels; he is incapable of bearing cold, is fickle­minded and fault-finding, and has a rough (broken) voice."
"sannasakta-calālāpo gītavādya-rataḥ sadā | 
madhurādy-upabhogī ca bhakṣya-pakvāmla-saspṛhaḥ ||29||","सन्नसक्त-चलालापो गीतवाद्य-रतः सदा । 
मधुराद्य्-उपभोगी च भक्ष्य-पक्वाम्ल-सस्पृहः ||२९||","29. His changeful talk (ever) relates to what is near at hand, and he is always given to take delight in music and musical instruments; he enjoys sweets and other such things, and is (also) fond of well-cooked and sour eatables."
"alpa-pitta-kaphaḥ prekṣyo'svalpa-nidro'lpa-jīvanaḥ | 
evam-ādi-guṇair jñeyas tāmaso vātiko janaḥ ||30||","अल्प-पित्त-कफः प्रेक्ष्योऽस्वल्प-निद्रोऽल्प-जीवनः । 
एवम्-आदि-गुणैर् ज्ञेयस् तामसो वातिको जनः ||३०||","30. He is seen to be possessed of very little bile and phlegm; he sleeps much and lives with the aid of scanty livelihood. By means of these and other similar characteristics, the tamas person, who is (as such) affected with wind (as a humour of the body), has to be diagnosed."
"pañca-bhūta-guṇān vakṣye traiguṇyān nātibhedinaḥ | 
jaṅgamānāṁ ca sarveṣāṁ śarīre pañca dhātavaḥ ||31||
pratyekaśaḥ prabhidyante yaiḥ śarīraṁ viceṣṭate | 
tvak ca māṁsaṁ tathāsthīni majjā snāyuś ca pañcamaḥ ||32||
ity etad iha saṅghātaṁ śarīre pṛthivī-mayam | 
tejo hy agnis tathā krodhaś cakṣur uṣmā tathaiva ca ||33||
agnir jarayate yac ca pañcāgneyāḥ śarīriṇaḥ | 
śrotraṁ ghrāṇaṁ tathāpy añca hṛdayaṁ koṣṭham eva ca ||34||
ākāśāt prāṇinām ete śarīre pañca dhātavaḥ | 
śleṣmā pittam atha khedo vasā śoṇitam eva ca ||35||
ity āpaḥ pañcadhā dehe bhavanti prāṇināṁ sadā | 
prāṇāt praṇīyate dehī vyānād vyāyacchate tathā ||36||
gacchaty apāno'dhaś caiva samāno hṛdy avasthitaḥ | 
udānād ucchvasiti ca pratibhedāc ca bhāṣate ||37||","पञ्च-भूत-गुणान् वक्ष्ये त्रैगुण्यान् नातिभेदिनः । 
जङ्गमानां च सर्वेषां शरीरे पञ्च धातवः ||३१||
प्रत्येकशः प्रभिद्यन्ते यैः शरीरं विचेष्टते । 
त्वक् च मांसं तथास्थीनि मज्जा स्नायुश् च पञ्चमः ||३२||
इत्य् एतद् इह सङ्घातं शरीरे पृथिवी-मयम् । 
तेजो ह्य् अग्निस् तथा क्रोधश् चक्षुर् उष्मा तथैव च ||३३||
अग्निर् जरयते यच् च पञ्चाग्नेयाः शरीरिणः । 
श्रोत्रं घ्राणं तथाप्य् अञ्च हृदयं कोष्ठम् एव च ||३४||
आकाशात् प्राणिनाम् एते शरीरे पञ्च धातवः । 
श्लेष्मा पित्तम् अथ खेदो वसा शोणितम् एव च ||३५||
इत्य् आपः पञ्चधा देहे भवन्ति प्राणिनां सदा । 
प्राणात् प्रणीयते देही व्यानाद् व्यायच्छते तथा ||३६||
गच्छत्य् अपानोऽधश् चैव समानो हृद्य् अवस्थितः । 
उदानाद् उच्छ्वसिति च प्रतिभेदाच् च भाषते ||३७||","31-37. I shall now describe tho characteristics of the five elements, which (characteristics) do not differ very much from the three qualities (of sattva, rajas and tamas). In the body of all moveable beings, (there are) five kinds of constituent materials, which are different from one another : and it is by means of them that the body puts forth (its) activities. The skin, the flesh and the bones, the marrow and the tendon as the fifth -- these (materials) in the body are considered to be made up of (the element of) earth. Power and similarly anger, and the eyes and also heat are derived out of (the element of) fire; and (this) fire also causes (the things eaten) to be digested. (These are) the five igneous products which belong to embodied beings. The ear and the nose and the mouth, the heart and the abdomen as well-these five constituent parts in the body of living beings are the outcome of the element of ether (akasa). Phlegm, bile and sweat, fat and blood as well -- thus is (the element of) water found always in five forms in the body of living beings. Through the inspiratory vital air, the embodied being is made to live; through the circulatory vital air, he always grows in size and develops; the excretory vital air goes downwards, and the digestive vital air exists in the centre (or the abdomen); through the upward expiratory vital air, he (the embodied being) breathes out and gives utterance to the various kinds of significant words."
"ity ete vāyavaḥ pañca ceṣṭayantīha dehinam | 
iṣṭaś cāniṣṭa-gandhaś ca madhuraḥ kaṭur eva ca ||38||
nirhārī saṅgataḥ snigdho rukṣo viśada eva ca | 
evaṁ nava-vidho jñeyaḥ pārthivo gandha-vistaraḥ ||39||","इत्य् एते वायवः पञ्च चेष्टयन्तीह देहिनम् । 
इष्टश् चानिष्ट-गन्धश् च मधुरः कटुर् एव च ||३८||
निर्हारी सङ्गतः स्निग्धो रुक्षो विशद एव च । 
एवं नव-विधो ज्ञेयः पार्थिवो गन्ध-विस्तरः ||३९||","38-39. Thus these five (different kinds of) vital air cause (all) embodied beings to manifest their activities here. The detailed varieties (of the quality) of smell, which characterises the (element of) earth, have to be understood as consisting of the following nine kinds, (namely), the agreeable-like, the disagreeable-like, the sweet, similarly the pungent, the diffusive, the inherent, the delicate, the powerful, and the distinct."
"madhuro lavaṇas tiktaḥ kaṣāyo'mlaḥ kaṭus tathā | 
evaṁ ṣaḍvidha-vistāro raso vāri-mayaḥ smṛtaḥ ||40||","मधुरो लवणस् तिक्तः कषायोऽम्लः कटुस् तथा । 
एवं षड्विध-विस्तारो रसो वारि-मयः स्मृतः ||४०||","40. The (quality of) taste, which is characteristic of (the element of) water is of the following six kinds in detail, namely, the sweet, the saltish, the bitter, the astringent, the sour and the pungent."
"hrasvo dīrghas tathā sthūlaś caturasro'tha vṛttavān | 
śuklaḥ kṛṣṇas tathā rakto nīlaḥ pīto'ruṇas tathā ||41||
evaṁ ṣoḍaśa-vistāro jyotī-rūpo guṇaḥ smṛtaḥ | 
ṣaḍja-rṣabhau ca gāndhāro madhyamaḥ pañcamas tathā ||42||
dhaivato niṣadhaś caiva saptaite śabdajā guṇāḥ | 
uṣṇaḥ śītaḥ sukho duḥkhaḥ snigdho viśada eva ca ||43||
kaṭhinaś cikkaṇaḥ ślakṣṇaḥ picchilo mṛdu-dāruṇaḥ | 
evaṁ dvādaśa-vistāro vāyavyo guṇa ucyate ||44||","ह्रस्वो दीर्घस् तथा स्थूलश् चतुरस्रोऽथ वृत्तवान् । 
शुक्लः कृष्णस् तथा रक्तो नीलः पीतोऽरुणस् तथा ||४१||
एवं षोडश-विस्तारो ज्योती-रूपो गुणः स्मृतः । 
षड्ज-र्षभौ च गान्धारो मध्यमः पञ्चमस् तथा ||४२||
धैवतो निषधश् चैव सप्तैते शब्दजा गुणाः । 
उष्णः शीतः सुखो दुःखः स्निग्धो विशद एव च ||४३||
कठिनश् चिक्कणः श्लक्ष्णः पिच्छिलो मृदु-दारुणः । 
एवं द्वादश-विस्तारो वायव्यो गुण उच्यते ||४४||","41-44. The qualities (derived) from (the element of) fire are also considered to consist of the following twelve (varieties) in detail, (namely), the short, the long and the stout, the square and the rotund, the white, the black, and similarly the red, the blue, the yellow and the tawny. The following seven notes (of the gamut) are the qualities obtained out of sound: (and they are) - the sadja, the rsabha and the gandhara, the madhyama, and similarly the panchama, the dhaivata, and also the misadha. The qualities produced out of (the element of) air are the following twelve in detail: (and they are) -- the hot, the cold, the pleasurable, the painful, the smooth, anc also the clean, the hard, the sticky, the fine, the thick, the soft and the rough."
"ākāśajaṁ śabdam āhur ebhir vāyu-guṇaiḥ saha | 
avyāhataiś cetayate na vetti viṣama-sthitaiḥ ||45||
āpyāyyante ca te nityaṁ dhātavas tais tu pañcabhiḥ | 
āpo'gnir marutaś caiva nityaṁ jāgrati dehiṣu ||46||","आकाशजं शब्दम् आहुर् एभिर् वायु-गुणैः सह । 
अव्याहतैश् चेतयते न वेत्ति विषम-स्थितैः ||४५||
आप्याय्यन्ते च ते नित्यं धातवस् तैस् तु पञ्चभिः । 
आपोऽग्निर् मरुतश् चैव नित्यं जाग्रति देहिषु ||४६||","45-46. Along with these qualities that are (derived out of the element) of air, they mention that sound is derived out (of the element) of ether (akasa). With the aid of those (above-mentioned) five constituent materials (of the body), one lives (well) in possession of consciousness, if they are not disorganised; if they become disorganised, one loses consciousness; (and it is through them that) one always attains growth and development. In (all) embodied beings, (the elements of) water, fire and air are ever (active and) wakeful."
"caturvyūhātmako viṣṇuś caturdhaivākaroj jagat | 
brahma-kṣatriya-viṭ-śūdrāṁś catur-varṇān guṇātmakān ||47||
vipraḥ śuklo nṛpo raktaḥ pīto vaiśyo'ntyajo'sitaḥ | 
vistṛtya dharma-śāstre hi teṣāṁ karma samīritam ||48||","चतुर्व्यूहात्मको विष्णुश् चतुर्धैवाकरोज् जगत् । 
ब्रह्म-क्षत्रिय-विट्-शूद्रांश् चतुर्-वर्णान् गुणात्मकान् ||४७||
विप्रः शुक्लो नृपो रक्तः पीतो वैश्योऽन्त्यजोऽसितः । 
विस्तृत्य धर्म-शास्त्रे हि तेषां कर्म समीरितम् ||४८||","47-48. Visnu, who has four forms of mani£estation, created the world in four ways, and (created) also the classes, namely, the Brahmin, the Ksattriya, the Vaisya and the Sudra, which have (all) their (respective) natures (determined) by qualities. The Brahmin is white, the Ksattriya is red, the Vaisya is yellow, and the Sudra black. It is in fact in the Dharma-sastra that their (respective) vocations are described in detail."
"ekasminn eva varṇe tu cāturvarṇye guṇātmakam | 
mokṣa-dharme'dhikāritva-siddhaye munir abhyadhāt ||49||","एकस्मिन्न् एव वर्णे तु चातुर्वर्ण्ये गुणात्मकम् । 
मोक्ष-धर्मेऽधिकारित्व-सिद्धये मुनिर् अभ्यधात् ||४९||","49. The sage (Vyasa), with the object of establishing the title (of all persons) to that (life of) righteous duty, which leads to the final deliverance of the soul from bondage, declared that in every class (of persons) in itself there are (to be found) all the four classes (of them) as determined by qualities."
"sa karma-devatā-yoga-jñāna-kāṇḍeṣv anukramāt | 
pravartayati tat-karma-paripāka-kramaṁ vidan ||50||","स कर्म-देवता-योग-ज्ञान-काण्डेष्व् अनुक्रमात् । 
प्रवर्तयति तत्-कर्म-परिपाक-क्रमं विदन् ||५०||","50. Knowing the manner in which the karma of these (various kinds of persons) comes to bear fruit, he (Vyasa) has ordained them to follow (according to their personal fitness) the scriptural sections dealing respectively with works, with the worship of the divinity and with (divine) wisdom."
"ṛjavaḥ śuddha-varṇābhāḥ kṣamāvanto dayālavaḥ | 
sva-dharma-niratā ye syus te dvijeṣu dvijātayaḥ ||51||","ऋजवः शुद्ध-वर्णाभाः क्षमावन्तो दयालवः । 
स्व-धर्म-निरता ये स्युस् ते द्विजेषु द्विजातयः ||५१||","51. Among those who are Brahmins (by birth), those (alone) are Brahmins (in reality), who are straightforward and possess the lustre of pure (white) colour, who possess (also) forgiveness and are kindly  in disposition, and are devoted to their own (appropriate) duties (in life)."
"kāma-bhoga-priyās tīkṣṇāḥ krodhanāḥ priya-sāhasāḥ | 
tyakta-svadharmā raktāṅgās te dvijā kṣatratāṁ gatāḥ ||52||","काम-भोग-प्रियास् तीक्ष्णाः क्रोधनाः प्रिय-साहसाः । 
त्यक्त-स्वधर्मा रक्ताङ्गास् ते द्विजा क्षत्रतां गताः ||५२||","52. Those Brahmins (by birth) have come to assume the condition of Ksattriyas -- (those) who are fond of enjoying objects of desire, and are harsh and angry and are given to daring deeds, and have (thus) abandoned their own (appropriate) duties, and are possessed of bodies that are red in colour."
"goṣu vṛttiṁ samādhāya pītāḥ kṛṣy-upajīvinaḥ | 
svadharmān nānutiṣṭhanti te dvijā vaiśyatāṁ gatāḥ ||53||","गोषु वृत्तिं समाधाय पीताः कृष्य्-उपजीविनः । 
स्वधर्मान् नानुतिष्ठन्ति ते द्विजा वैश्यतां गताः ||५३||","53. Those Brahmins (by birth) have become Vaisyas -- (those} who live by tending cattle, who are yellow-coloured, and earn their livelihood by means of agriculture, and (hence) do not do their own (appropriate Brahminical) duties."
"hiṁsānṛta-priyā lubdhāḥ sarva-karmopajīvinaḥ | 
kṛṣṇāḥ śauca-paribhraṣṭās te dvijāḥ śūdratāṁ gatāḥ ||54||","हिंसानृत-प्रिया लुब्धाः सर्व-कर्मोपजीविनः । 
कृष्णाः शौच-परिभ्रष्टास् ते द्विजाः शूद्रतां गताः ||५४||","54. Those Brahmins (by birth) have become Sudras -- (those) who are fond of injuring others and of speaking falsehood, who are mean, and do all kinds of work for the sake of (their) livelihood, and are black in colour, and have fallen away from purity."
"samayācāra-niḥśeṣa-kṛtya-bhedair vimohayan | 
mokṣado viṣṇur eva syād deva-daiteya-rakṣasām ||55||","समयाचार-निःशेष-कृत्य-भेदैर् विमोहयन् । 
मोक्षदो विष्णुर् एव स्याद् देव-दैतेय-रक्षसाम् ||५५||","55. Visnu, who causes bewilderment to the gods, daityas, and raksasas, by means of the distinctions relating to {various) conventional and common duties, is Himself the bestower of final beatitude on all of them."
"caturbhir janmabhir muktir dveṣeṇa bhajatas tava | 
bhaved iti varo dattaḥ puṇḍarīkāya viṣṇunā ||56||","चतुर्भिर् जन्मभिर् मुक्तिर् द्वेषेण भजतस् तव । 
भवेद् इति वरो दत्तः पुण्डरीकाय विष्णुना ||५६||","56. This is the boon given by Visnu to Pundarika, namely, that final liberation would come to him in the course of four re-births, for the reason that he was devoted (to Him) in hatred."
"rajaḥ-sattva-tamo-mārgais tad-ātmānaḥ sva-karmabhiḥ | 
prāpyate viṣṇur evaiko deva-daitya-niśācaraiḥ ||57||","रजः-सत्त्व-तमो-मार्गैस् तद्-आत्मानः स्व-कर्मभिः । 
प्राप्यते विष्णुर् एवैको देव-दैत्य-निशाचरैः ||५७||","57. In consequence of their own works, which follow the courses of (the qualities of) rajas, sattva and tamas, (the various beings) happen to be of the nature of those (qualities) : and (it is) the one  is only Visnu (who) attained by the gods, by the datiyas and by the raksasas (equally)."
