Sanskrit_Romanized,Sanskrit_Devanagari,Extended_English_Translation
"artha-vedo’nna-pānādi-pradāna-sukha-tatparaḥ |
dakṣiṇājya-puroḍāśa-caru-sampādanādibhiḥ ||13||","अर्थ-वेदो’न्न-पानादि-प्रदान-सुख-तत्परः ।
दक्षिणाज्य-पुरोडाश-चरु-सम्पादनादिभिः ||१३||","13. The Arthaveda (the science of wealth and government) is devoted to {the study and examination of) that happiness which is consequent upon the (proper) distribution of food, drink, and such other things (among people). Among other things, by making available the daksina (i.e., the fee or any other gift to be given to officiating priests and others in sacrifices), the ajya (i.e., the clarified butter to be used in sacrifices), the purodasa (an oblation in the form of a cake made of ground rice cooked in an earthen dish), and the caru (an oblation of rice or barley boiled in·milk  and sprinkled over with ghee, etc.), as well as by safeguarding them (from loss and destruction), ..."
"tat-pālanāc catur-varga-puruṣārtha-prasādhakaḥ |
dhanur-vedo bhavaty atra paripanthi-nirāsakaḥ ||14||","तत्-पालनाच् चतुर्-वर्ग-पुरुषार्थ-प्रसाधकः ।
धनुर्-वेदो भवत्य् अत्र परिपन्थि-निरासकः ||१४||","...  it (viz., the Arthaveda) is  suited to bring about the fruition of those aims of life which make up the (well-known) collection of the four (well-known  things). Here (in this world) the Dhanurveda leads to the overthrow of enemies."
"sapta-svara-prayogo hi sāma-gāndharva-vedayoḥ |
sameto laukiko yogo vaidikasyopakārakaḥ ||15||","सप्त-स्वर-प्रयोगो हि साम-गान्धर्व-वेदयोः ।
समेतो लौकिको योगो वैदिकस्योपकारकः ||१५||",15. The employment of the seven notes of the gamut is in fact associated with both the Samaveda and the Gandharvaveda (music); and the combination of secular notes (as taught in the latter) is helpful to that of the Vedic notes.
"aṅgopāṅgopavedānām evaṁ vedaika-śeṣatā |
caturdaśasu vidyāsu mīmāṁsaiva garīyasī ||16||","अङ्गोपाङ्गोपवेदानाम् एवं वेदैक-शेषता ।
चतुर्दशसु विद्यासु मीमांसैव गरीयसी ||१६||","16. Thus it comes out that the (above-mentioned) limbs and secondary limbs (of the Vedas), as well as the supplementary Vedas, are all auxiliary and subordinate to the Vedas themselves. Of these fourteen branches of knowledge, the Mimamsa alone is the greatest."
"viṁśaty-adhyāya-yuktā sā pratipādyārthato dvidhā |
karmārthā pūrva-mīmāṁsā dvādaśādhyāya-vistṛtā ||17||","विंशत्य्-अध्याय-युक्ता सा प्रतिपाद्यार्थतो द्विधा ।
कर्मार्था पूर्व-मीमांसा द्वादशाध्याय-विस्तृता ||१७||",17. It (Mimamsa) consists of twenty chapters and is divided into two parts in accordance with the subject-matter dealt with therein. The Purva-mimamsa deals with the subject of karma (or ritualistic works) and extends over twelve chapters.
"asyāṁ sūtraṁ jaiminīyaṁ śāvaraṁ bhāṣyam asya tu |
mīmāṁsā-vārtikaṁ bhāṭṭaṁ bhaṭṭācārya-kṛtaṁ hi tat ||18||","अस्यां सूत्रं जैमिनीयं शावरं भाष्यम् अस्य तु ।
मीमांसा-वार्तिकं भाट्टं भट्टाचार्य-कृतं हि तत् ||१८||","18. The sutras (or aphorisms) relating to this (Purva-mimamsa) have been composed by Jaimini. The commentary (thereon) is the work of Sabara. The Mamamsarvartika is the work of Bhatta, as it has indeed been composed by the great teacher (Kumarila) Bhatta."
"tac-chiṣyo’py alpa-bhedena śavarasya matāntaram |
prabhākara-guruś cakre tad dhi prābhākaraṁ matam ||19||","तच्-छिष्यो’प्य् अल्प-भेदेन शवरस्य मतान्तरम् ।
प्रभाकर-गुरुश् चक्रे तद् धि प्राभाकरं मतम् ||१९||","19. The teacher Prabhakara, though his (i.e., Kumarila Bhatta's) disciple, established on a slight difference of views a different school (of Purva-mimamsa) from that of Sabara ; and this is known as the Prabhakara school."
"bhavaty uttara-mīmāṁsā tv aṣṭādhyāyī dvidhā ca sā |
devatājñāna-kāṇḍābhyāṁ vyāsa-sūtraṁ dvayoḥ samam ||20||","भवत्य् उत्तर-मीमांसा त्व् अष्टाध्यायी द्विधा च सा ।
देवताज्ञान-काण्डाभ्यां व्यास-सूत्रं द्वयोः समम् ||२०||",20. Uttara-Mimamsa on the other hand consists of eight chapters : and it is also divided into two parts under the head dealing (respectively) with deities and with the wisdom ( of true philosophy). Both these divisions of the Uttara-mimamsa have alike had their sutras (aphorisms) composed by Vyasa.
"pūrvādhyāya-catuṣkeṇa mantra-vācyā ca devatā |
saṅkarṣaṇoditā tad dhi devatākāṅkṣam ucyate ||21||","पूर्वाध्याय-चतुष्केण मन्त्र-वाच्या च देवता ।
सङ्कर्षणोदिता तद् धि देवताकाङ्क्षम् उच्यते ||२१||","21. In the first four chapters here (in the Uttara-mimamsa), the deities referred to in the mantras are (given as) described by Sankarsana. For this reason it is called Devatakanda (i.e., the part dealing with the deities)."
"bhāṣyaṁ caturbhir adhyāyair bhagavat-pāda-nirmitam |
cakre vivaraṇaṁ tasya tad vedāntaṁ pracakṣate ||22||","भाष्यं चतुर्भिर् अध्यायैर् भगवत्-पाद-निर्मितम् ।
चक्रे विवरणं तस्य तद् वेदान्तं प्रचक्षते ||२२||",22. A commentary (thereon) in four chapters has been composed by the venerable teacher. The explanatory commentary which he produced in relation to that (other part of  Uttara­mimamsa) is spoken of as Vedanta.
"akṣapādaḥ kaṇādaś ca kapilo jaiminis tathā |
vyāsaḥ patañjaliś caite vaidikāḥ sūtra-kārakāḥ ||23||","अक्षपादः कणादश् च कपिलो जैमिनिस् तथा ।
व्यासः पतञ्जलिश् चैते वैदिकाः सूत्र-कारकाः ||२३||","23. Aksapada (or Gotama), Kanada, and Kapila, and Jaimini, Vyasa, and Patanjali -- these authors of (philosophic) aphorisms are (all) believers in the Vedas."
"bṛhaspatyārhatau buddho veda-mārga-virodhinaḥ |
eteṣv adhikṛtān vakṣye sarve śāstra-pravartakāḥ ||24||","बृहस्पत्यार्हतौ बुद्धो वेद-मार्ग-विरोधिनः ।
एतेष्व् अधिकृतान् वक्ष्ये सर्वे शास्त्र-प्रवर्तकाः ||२४||","24. Brhaspati and the Arhata (Jina) and the Buddha are all opposed to the (religious) path of the Vedas. In view of the (varying) fitness of individuals, all these have become expounders of authoritative systems (of religion and philosophy)."
"vedāprāmāṇya-siddhāntā bauddha-lokāyatārhatāḥ |
yuktyā nirasanīyās te veda-prāmāṇya-vādibhiḥ ||25||","वेदाप्रामाण्य-सिद्धान्ता बौद्ध-लोकायतार्हताः ।
युक्त्या निरसनीयास् ते वेद-प्रामाण्य-वादिभिः ||२५||","25. The Bauddhas, the Lokayatas (or the followers of Brhaspati) and the Jainas hold it as an established conclusion that the Vedas are not authoritative. They have to be refuted by means of logical reasoning by all those who maintain the authoritativeness of the Vedas."
