Sanskrit_Romanized,Sanskrit_Devanagri,Extended_English_Translation
"maitrīṁ kuryāt sudhī-loke karuṇāṁ duḥkhite jane | 
dharme'numodanaṁ kuryād upakṣām eva pāpinām ||21||","मैत्रीं कुर्यात् सुधी-लोके करुणां दुःखिते जने । 
धर्मेऽनुमोदनं कुर्याद् उपक्षाम् एव पापिनाम् ||२१||","21. (The feeling of) friendliness should be exercised in relation to men of wisdom, and (that of) pity in relation to persons in distress. Pleased satisfaction should be shown in relation to righteousness, and indifference in relation to those that are sinful."
"bhagavat-kṣetra-sevā ca sajjanasya ca saṅgatiḥ | 
bhagavac-caritābhyāso bhāvanā pratyag-ātmanaḥ ||22||
ity evam-ādibhir yatnaiḥ saṁśuddhaṁ yogino manaḥ | 
śaktaṁ syād atisūkṣmāṇāṁ mahatām api bhāvane ||23||","भगवत्-क्षेत्र-सेवा च सज्जनस्य च सङ्गतिः । 
भगवच्-चरिताभ्यासो भावना प्रत्यग्-आत्मनः ||२२||
इत्य् एवम्-आदिभिर् यत्नैः संशुद्धं योगिनो मनः । 
शक्तं स्याद् अतिसूक्ष्माणां महताम् अपि भावने ||२३||","22-23. Devotional service in holy places of pilgrimage, association with good people, repeated endeavour to live the life of the Lord, (the effort to arrive at) the mental comprehension of theinner soul -- by means of these and other similar endeavours the mind of the yogin (becomes) well purified, and is (then) enabled to conceive (correctly) the things which are very minute as also the things which are (very) big."
"yogāṅga-kāraṇād doṣe naṣṭe jñāna-prakāśanam | 
aṣṭāv aṅgāni yogasya yamo'tha niyamas tathā ||24||
āsanaṁ pavanāyāmaḥ pratyāhāro'tha dhāraṇā | 
dhyānaṁ samādhir ity evaṁ tāni vistarato yathā ||25||","योगाङ्ग-कारणाद् दोषे नष्टे ज्ञान-प्रकाशनम् । 
अष्टाव् अङ्गानि योगस्य यमोऽथ नियमस् तथा ||२४||
आसनं पवनायामः प्रत्याहारोऽथ धारणा । 
ध्यानं समाधिर् इत्य् एवं तानि विस्तरतो यथा ||२५||","24-25. When that which is harmful is removed from what constitutes the instrument (for the practice) of the (various) constituent parts of yoga, (then there arises) the illumination of knowledge. The constituents of yoga are eight in number, viz., internal self-control, external regulation, bodily postures, control of the breath, withdrawal of the senses from outside objects, fixity of attention, meditative concentration, and attentive self-realisation. They are (described) in detail thus :-"
"ahiṁsā satyam asteyaṁ brahmacaryāparigrahau | 
yamāḥ pañca bhavanty ete jātyādy-anuguṇā matāḥ ||26||","अहिंसा सत्यम् अस्तेयं ब्रह्मचर्यापरिग्रहौ । 
यमाः पञ्च भवन्त्य् एते जात्याद्य्-अनुगुणा मताः ||२६||","26. Abstaining from (inflicting) injury, truthfulness, abstention from stealing, celibacy, and freedom from acquisitive covetousness -- these are the five elements of internal sell-control, which are known to be in accordance with (one's) birth, etc."
"niyamāḥ śauca-santoṣa-tapo-mantreśa-sevanāḥ | 
yamasya niyamasyāpi siddhau vakṣye phalāni ca ||27||","नियमाः शौच-सन्तोष-तपो-मन्त्रेश-सेवनाः । 
यमस्य नियमस्यापि सिद्धौ वक्ष्ये फलानि च ||२७||","27. The elements of external regulation are cleanliness, gladsome contentment, austerity, (repetition of) religious hymns (or mystical formulas), and the worship of the Lord. Now, I shall describe the results of internal self-control and of external regulation when they are suceessfully carried out."
"ahiṁsāyāḥ phalaṁ tasya sannidhau vaira-varjanam | 
satyād amogha-vāktvaṁ syād asteyād ratna-saṅgatiḥ ||28||","अहिंसायाः फलं तस्य सन्निधौ वैर-वर्जनम् । 
सत्याद् अमोघ-वाक्त्वं स्याद् अस्तेयाद् रत्न-सङ्गतिः ||२८||","28. The result of abstaining from (all) injury is the abandonment of enmity near where he (who abstains from injury) happens to be. From truthfulness arises the non-vanity of language, and from abstention from stealing comes the acquisition of (all) gems (of value)."
"brahmacaryād vīrya-lābho janma-dhīr aparigrahāt | 
śaucāt svāṅge'jugupsā syād durjana-sparśa-varjanam ||29||","ब्रह्मचर्याद् वीर्य-लाभो जन्म-धीर् अपरिग्रहात् । 
शौचात् स्वाङ्गेऽजुगुप्सा स्याद् दुर्जन-स्पर्श-वर्जनम् ||२९||","29. From celibacy comes the acquisition of energy, and from the freedom from acquisitive covetousness there arises the knowledge of (past) births. Cleanliness gives rise to the absence of disgust in connection with one's own body, as also to the avoidance of contact with wicked people."
"sattva-śuddhiḥ saumanasyam aikātmendriya-vaśyate | 
ātma-darśana-yogyatvaṁ manaḥ-śauca-phalaṁ bhavet ||30||","सत्त्व-शुद्धिः सौमनस्यम् ऐकात्मेन्द्रिय-वश्यते । 
आत्म-दर्शन-योग्यत्वं मनः-शौच-फलं भवेत् ||३०||","30. The results of mental purity are the purification of (the whole) constitution, good-minded-ness, singleness of purpose, subjugation of the senses, and fitness for self-realisation."
"anuttama-sukhāvāptiḥ santoṣād yogino bhavet | 
indriyāṇāṁ tu kāyasya siddhiḥ syāt tapasaḥ phalam ||31||","अनुत्तम-सुखावाप्तिः सन्तोषाद् योगिनो भवेत् । 
इन्द्रियाणां तु कायस्य सिद्धिः स्यात् तपसः फलम् ||३१||",31. The yogin obtains unsurpassahle joy as the result of his gladsome contentment. The result of (the practice of) austerity is to endow the senses and the body with superior powers.
"indriyasya tu siddhyā syād dūrālokādi-sambhavaḥ | 
kāya-siddhy-āṇimādi syāt tasya divya-śarīriṇaḥ ||32||","इन्द्रियस्य तु सिद्ध्या स्याद् दूरालोकादि-सम्भवः । 
काय-सिद्ध्य्-आणिमादि स्यात् तस्य दिव्य-शरीरिणः ||३२||","32. Through the endowment of the senses with superior powers, there arises the ability to see objects at a distance, etc. By means of the endowment of the body with superior powers, he, who has (thus come to possess) a divinely gifted body, acquires the (supra-normal) power of becoming as small as an atom and other such (powers)."
"japena devatākarṣaḥ samādhis tv īśasevayā | 
āsanaṁ syāt sthira-sukhaṁ dvandva-nāśas tato bhavet ||33||","जपेन देवताकर्षः समाधिस् त्व् ईशसेवया । 
आसनं स्यात् स्थिर-सुखं द्वन्द्व-नाशस् ततो भवेत् ||३३||","33. Through the silent repetition of religious hymns (or mystical prayer-formulas), there results the attraction of the gods (towards the aspirant); and through the worship of the Lord, there arises samadhi (or self-realisation). That which is firm and agreeable is the (proper) posture (in all cases) ; there by the destruction of the pairs of opposites (such as heat and cold, pain and pleasure, desire and aversion) takes place."
"padma-bhadra-mayūrākhyair vīra-svastika-kukkuṭaiḥ | 
āsanair yoga-śāstroktair āsitavyaṁ ca yogibhiḥ ||34||","पद्म-भद्र-मयूराख्यैर् वीर-स्वस्तिक-कुक्कुटैः । 
आसनैर् योग-शास्त्रोक्तैर् आसितव्यं च योगिभिः ||३४||","34. The yogins have to adopt in sitting the postures called padma, bhadra, and mayura, as also the vira, svastika, and kukkuta postures -- which are all described in (works bearing on) the science of yoga."
"prāṇāpāna-nirodhaḥ syāt prāṇāyāmas tridhā hi saḥ | 
kartavyo yogino tena reca-pūraka-kumbhakaiḥ ||35||","प्राणापान-निरोधः स्यात् प्राणायामस् त्रिधा हि सः । 
कर्तव्यो योगिनो तेन रेच-पूरक-कुम्भकैः ||३५||","35. The control of the breath consists in a regulated restraint (exercised) in relation to inspiration and expiration; it is in fact to be practised by the (aspiring) yogin in the three ways known as recaka, puraka, and kumbhaka."
"recanād recako vāyoḥ pūraṇāt pūrako bhavet | 
sampūrṇa-kumbhavat sthānād acalaḥ sa tu kumbhakaḥ ||36||","रेचनाद् रेचको वायोः पूरणात् पूरको भवेत् । 
सम्पूर्ण-कुम्भवत् स्थानाद् अचलः स तु कुम्भकः ||३६||",36. Recaka results from expelling the air that is within; puraka results from filling in (the lungs) with air ; but the kumbhaka is (the condition) characterised by motionlessness (of air) owing to (it) being (then) as if in a well-filled pot.
"prāṇāyāmaś caturthaḥ syād reca-pūraka-kumbhakān | 
hitvā nija-sthitir vāyor avidyā-pāpa-nāśinī ||37||","प्राणायामश् चतुर्थः स्याद् रेच-पूरक-कुम्भकान् । 
हित्वा निज-स्थितिर् वायोर् अविद्या-पाप-नाशिनी ||३७||","37. There is a fourth (kind of) breath control (pranayama), in which the air is in its own (natural) condition, being dissociated from the recaka, puraka and kumbhaka (processes); this (state of the natural self-abidance of the breath) destroys the sins arising out of (one's) neseience."
"indriyāṇāṁ ca caratāṁ viṣayebhyo nivartanam | 
pratyāhāro bhavet tasya phalam indriya-vaśyatā ||38||","इन्द्रियाणां च चरतां विषयेभ्यो निवर्तनम् । 
प्रत्याहारो भवेत् तस्य फलम् इन्द्रिय-वश्यता ||३८||",38. The process of sense-withdrawal consists in drawing away the wandering senses from their objects; and the result of this (process) is the subjugation of the senses.
"cittasya deśa-bandhaḥ syād dhāraṇā dvividhā hi sā | 
deśa-bāhyāntaratvena bāhyaḥ syāt prātimādikaḥ ||39||","चित्तस्य देश-बन्धः स्याद् धारणा द्विविधा हि सा । 
देश-बाह्यान्तरत्वेन बाह्यः स्यात् प्रातिमादिकः ||३९||","39. Fixing the attention is the (process of) fixing the mind on some (object well defined in) space; and it is in fact of two kinds, in consequence of (this defined) space being internal or external. The external (object defined in) space consists of images and such other things."
"deśābhyantaro jñeyo nābhi-cakra-hṛd-ādikaḥ | 
cittasya bandhanaṁ tatra vṛttir eva na cāparam ||40||","देशाभ्यन्तरो ज्ञेयो नाभि-चक्र-हृद्-आदिकः । 
चित्तस्य बन्धनं तत्र वृत्तिर् एव न चापरम् ||४०||","40. The internal (object defined in) space consists of the circle of the navel, the heart, and so on. The fixing of the mind thereon is merely (directing) its existence (to be) there; (it is) nothing else."
"nābhi-cakrādi-deśeṣu pratyaysyaikatānatā | 
dhyānaṁ samādhis tatraiva tv ātmanaḥ śūnyavat sthitiḥ ||41||","नाभि-चक्रादि-देशेषु प्रत्यय्स्यैकतानता । 
ध्यानं समाधिस् तत्रैव त्व् आत्मनः शून्यवत् स्थितिः ||४१||","41. Meditative concentration (dhyana) is a continued oneness of the idea (or conception in the mind) in relation to the circle of the navel or other such (objects in definite internal) positions. Self-realisation (samadhi), however, consists in the endurance of the soul in relation to those same (positions) in the manner of a thing that is emptied of all its contents."
"dhāraṇādi-traye tv eka-viṣaye pāribhāṣikī | 
saṁjñā saṁyama ity eṣā trayoccāraṇa-lāghavāt ||42||","धारणादि-त्रये त्व् एक-विषये पारिभाषिकी । 
संज्ञा संयम इत्य् एषा त्रयोच्चारण-लाघवात् ||४२||","42. In relation to the three (constituents of yoga), beginning with the fixing of attention (dharana) and looked upon as forming one topic (of description), there is, for the purpose of easily mentioning (all) three of them (at once), the technical name of samyama."
"yoginaḥ saṁyama-jayāt prajñālokaḥ pravartate | 
saṁyamasya tu kartavyo viniyogo'tra bhūmiṣu ||43||","योगिनः संयम-जयात् प्रज्ञालोकः प्रवर्तते । 
संयमस्य तु कर्तव्यो विनियोगोऽत्र भूमिषु ||४३||","43. By success in (the practice of) samyama, the expansion of the vision of wisdom takes place in the ease of the yogin. This samyama has indeed to be practised, and its practical utilisation has to be in (accordance with) the following steps."
"pañcabhyo'pi yamādibhyo dhāraṇādi-trayaṁ bhavet | 
antaraṅgaṁ hi nirbīja-samādhiḥ syāt tataḥ param ||44||","पञ्चभ्योऽपि यमादिभ्यो धारणादि-त्रयं भवेत् । 
अन्तरङ्गं हि निर्बीज-समाधिः स्यात् ततः परम् ||४४||","44. The three (constituents of yoga), beginning with the fixing of attention (dharna), are indeed more essential (to the practice of yoga) than the (remaining) five, beginning with internal self­control (yama). That samadhi (self-realisation), which is absolute and indefinable, is higher than these three."
"ajitvā tv aparāṁ bhūmiṁ nārohed bhūmim uttarām | 
ajitvārohaṇe bhūmer yoginaḥ syur upadravāḥ ||45||
hikkāśvāsa-pratiśyāya-karṇa-dantākṣi-vedanāḥ | 
mūkatā-jaḍatā-kāsa-śiro-roga-jvarās tv iti ||46||","अजित्वा त्व् अपरां भूमिं नारोहेद् भूमिम् उत्तराम् । 
अजित्वारोहणे भूमेर् योगिनः स्युर् उपद्रवाः ||४५||
हिक्काश्वास-प्रतिश्याय-कर्ण-दन्ताक्षि-वेदनाः । 
मूकता-जडता-कास-शिरो-रोग-ज्वरास् त्व् इति ||४६||","45-46. Without winning success in (the practice of what happens to be) the lower step, one should not ascend to the higher (step). In ascending to the (higher) step without winning mastery (over the lower one), the yogin will be prone to (suffer from) ailments, such as hiccough, hard breathing, catarrh, pain in the ears and teeth and eyes, dumbness, dullness, cough, head-ache  and fever."
"yasyeśvara-prasādena yogo bhavati tasya tu | 
na rogāḥ sambhavaty ete ye'dharottara-bhūmijāḥ ||47||","यस्येश्वर-प्रसादेन योगो भवति तस्य तु । 
न रोगाः सम्भवत्य् एते येऽधरोत्तर-भूमिजाः ||४७||","47. In relation to the person to whom (success in) yoga comes through the grace of the Lord, these ailments born of the lower and the higher steps do not at all occur."
"eka evākhilo dharmo bālya-kaumāra-yauvanaiḥ | 
vārdhakena tu kālena pariṇāmād vinaśyati ||48||","एक एवाखिलो धर्मो बाल्य-कौमार-यौवनैः । 
वार्धकेन तु कालेन परिणामाद् विनश्यति ||४८||","48. The whole (body) of (one's) attributes (dharma) is only one (as an integral whole) : by undergoing modifications in the form of childhood, boyhood, youth, and old age, that (one and the same body of attributes), however, perishes in time (at last)."
"parāg-bhūtasya yātīḍā-piṅgalābhyām ahar-niśam | 
kālas taṁ śamayet pratyag abhiyātaḥ suṣumṇayā ||49||","पराग्-भूतस्य यातीडा-पिङ्गलाभ्याम् अहर्-निशम् । 
कालस् तं शमयेत् प्रत्यग् अभियातः सुषुम्णया ||४९||","49. In the case of a person, who has directed his mind outwards, time passes away by day and by night through the ida and the pingala. He, who has directed his mind inwards, has to effect the cessation of that (flow of time) with the help of the susumna."
"mukti-mārgaḥ suṣumṇā syāt kālas tatra hi vañcitaḥ | 
candrādityātmakaḥ kālas tayor mārga-dvayaṁ sphuṭam ||50||","मुक्ति-मार्गः सुषुम्णा स्यात् कालस् तत्र हि वञ्चितः । 
चन्द्रादित्यात्मकः कालस् तयोर् मार्ग-द्वयं स्फुटम् ||५०||",50. The susumna is the path of liberation; time is indeed deceived therein. Time consists of (what is determined with the aid of) the moon and the sun; their two paths are well known.
"kṣīrāt samuddhṛtaṁ tv ājyaṁ na punaḥ kṣīratāṁ vrajet | 
pṛthak-kṛto guṇebhyas tu bhūyo nātmā guṇī bhavet ||51||","क्षीरात् समुद्धृतं त्व् आज्यं न पुनः क्षीरतां व्रजेत् । 
पृथक्-कृतो गुणेभ्यस् तु भूयो नात्मा गुणी भवेत् ||५१||","51. The clarified butter which is got out of milk cannot again assume the condition of milk. (Similarly), the atman (or the soul) that has been separated from the 'qualities' cannot again become the possessor of' qualities'."
"yathā nītā rasendreṇa dhātavaḥ śātakumbhatām | 
punar-āvṛttaye na syus tadvad ātmāpi yoginām ||52||","यथा नीता रसेन्द्रेण धातवः शातकुम्भताम् । 
पुनर्-आवृत्तये न स्युस् तद्वद् आत्मापि योगिनाम् ||५२||","52. Just as the metallic ores, that have been turned into gold by the philosopher's stone, cannot return to their former condition, so also the atman (or soul) of the yogins (cannot return to its previous captive condition)."
"nāḍī-cakra-gatir jñeyā yogam abhyasyatāṁ sadā | 
suṣumṇā madhya-vaṁśāsthi-dvāreṇa tu śiro-gatā ||53||","नाडी-चक्र-गतिर् ज्ञेया योगम् अभ्यस्यतां सदा । 
सुषुम्णा मध्य-वंशास्थि-द्वारेण तु शिरो-गता ||५३||",53. Those who practise yoga should always know the manner of arrangement of the system of blood-vessel-tubes. The susumna goes into the head through an opening in the central back-bone.
"iḍā ca piṅgalā ghrāṇa-pradeśe savya-dakṣiṇe | 
iḍā candrasya mārgaḥ syāt piṅgalā tu raves tathā ||54||","इडा च पिङ्गला घ्राण-प्रदेशे सव्य-दक्षिणे । 
इडा चन्द्रस्य मार्गः स्यात् पिङ्गला तु रवेस् तथा ||५४||","54. The ida and the pingala are on the left and right of the region of the nose ; the ida is the path of the moon, and similarly the pingala is the path of the sun."
"kuhūr adho-gatā liṅgaṁ vṛṣaṇaṁ pāyum apy asau | 
viśvodarā dhāraṇā ca savyetara-karī kramāt ||55||","कुहूर् अधो-गता लिङ्गं वृषणं पायुम् अप्य् असौ । 
विश्वोदरा धारणा च सव्येतर-करी क्रमात् ||५५||","55. The kuhu is below, and goes to the genital organ and the testes and also to the anus; the visodara and the dharana (go) respectively to the left and to the other (i.e., the right) hands."
"savyetarāṅgī vijñeyau hasti-jihvā yaśasvinī | 
sarasvatī tu jihvā syāt suṣumnā-pṛṣṭha-nirgatā ||56||","सव्येतराङ्गी विज्ञेयौ हस्ति-जिह्वा यशस्विनी । 
सरस्वती तु जिह्वा स्यात् सुषुम्ना-पृष्ठ-निर्गता ||५६||","56. The hasti-jihra and the yasasvini are known to be (of) the left and of the other (i.e., the right) feet; the sarasvati is (of) the tongue and starts from behind the susumna."
"tat-pārśvayoḥ sthitau karṇau śaṅkhinī ca payasvinī | 
gāndhārī savya-netraṁ syān netraṁ pūṣā ca dakṣiṇam ||57||","तत्-पार्श्वयोः स्थितौ कर्णौ शङ्खिनी च पयस्विनी । 
गान्धारी सव्य-नेत्रं स्यान् नेत्रं पूषा च दक्षिणम् ||५७||","57. The sankhini and the payasvini are on the two sides of it, and are (of)  the two ears ; the gandhari is (of) the left eye, and the pusan is (of) the right eye."
"jñāna-karmendriyāṇi syur nāḍyaḥ kaṇṭhād viniḥsṛtāḥ | 
nāḍyo hi yogināṁ jñeyāḥ sirā eva na cāparāḥ ||58||","ज्ञान-कर्मेन्द्रियाणि स्युर् नाड्यः कण्ठाद् विनिःसृताः । 
नाड्यो हि योगिनां ज्ञेयाः सिरा एव न चापराः ||५८||",58. The blood-vessel-tubes proceeding from the neck are (those of) the organs sense and activity. The yogins have to understand (these) nadis to be (merely) tubular vessels and nothing else.
"prāṇādi-vāyu-sañcāro nāḍīṣv eva yathā tathā | 
jñātavyo yoga-śāstreṣu tad-vyāpāraś ca dṛśyatām ||59||","प्राणादि-वायु-सञ्चारो नाडीष्व् एव यथा तथा । 
ज्ञातव्यो योग-शास्त्रेषु तद्-व्यापारश् च दृश्यताम् ||५९||","59. The movement of the principal vital air and of its other varieties, which takes place only in (these) tubular vessels, should be made out exactly as it is. The functions of those (various kinds of vital air) have to be learnt from (works on) the science of yoga."
